,musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage,residence
musician,0.99967843,0.41804302,6.828117e-05,0.00037429447,0.002550488,0.00041072315,0.00024590467,0.0019327322,0.0017189868,0.0021697457,0.00037588898,0.0046626264,0.058211163,0.0008757254
musicianLabel,0.17512596,0.83985466,7.0021335e-05,4.0750005e-05,0.22098762,0.49283558,0.8041029,0.6328965,0.39148808,0.5608872,0.00039043685,0.056617863,0.00060970447,0.0038483632
genderLabel,0.00023692277,0.00084464793,0.047974695,0.00057661795,0.0033120003,0.008345279,0.04873312,0.0007762463,0.005826732,0.00036016534,0.00017302124,0.001995527,0.00048699934,0.008730201
cityLabel,0.0025443786,0.017705137,0.0001720136,0.00010098948,0.9986485,0.39391795,0.3798427,0.028876292,0.014012713,0.010671064,0.0002781378,0.008703225,0.00054814597,0.66349375
fatherLabel,0.0003678324,0.25534323,0.00014670013,6.7670604e-05,0.003111263,0.02096892,0.007976353,0.98812056,0.28239673,0.5634622,0.00022502852,0.01799262,0.00097629166,0.014176531
motherLabel,0.00044417864,0.2486556,0.00015370779,6.0118113e-05,0.011484978,0.003230366,0.033998318,0.6238334,0.99814343,0.8280392,0.0002781858,0.0122515205,0.0010328742,0.027301345
partner,0.0017545739,0.78493524,0.00019578764,7.639839e-05,0.05602236,0.17005838,0.25529093,0.70771897,0.80398154,0.9951676,0.00024111656,0.045844622,0.007999552,0.16951862
genreLabel,0.0007441796,0.02348471,0.00023015848,6.265833e-05,0.027711898,0.08272088,0.031125467,0.015266288,0.045349002,0.0040805717,0.0010028444,0.96750563,0.0018005734,0.05933803
ethnicityLabel,0.0006271707,0.11015887,0.00033080694,0.00010800877,0.2118872,0.0036435823,0.0019077461,0.03440459,0.025500033,0.0065966416,0.0003404357,0.0073373164,0.012910135,0.0033869843
religionLabel,0.0016163862,0.0013134683,0.00020705664,3.7882797e-05,0.0060153333,0.0006300354,0.0024690852,0.00702327,0.004057255,0.0022421172,0.000139949,0.0062730173,0.00023146739,0.23930699
activityStart,0.00013676635,9.050859e-05,0.0023070779,0.2655801,4.9712744e-05,0.00011251125,9.638078e-05,4.631662e-05,2.8979912e-05,3.9969025e-05,0.00063288223,3.16206e-05,9.529083e-05,5.916877e-05
twitterNameLabel,0.00017428768,0.26792514,0.00053667877,0.00022676332,0.021304257,0.22834654,0.24077135,0.22557303,0.11282104,0.16327776,0.0014940241,0.003042224,0.00051127846,0.0009825707
geniusNameLabel,0.002839058,0.38639477,0.00093305006,0.0001241154,0.013494661,0.18160674,0.20711488,0.062167257,0.08550653,0.07639472,0.00040804883,0.01322939,0.008959761,0.0020984926
recordLabelLabel,0.0007464447,0.048603557,0.000103556915,3.944274e-05,0.09449673,0.011922121,0.020067532,0.04842788,0.18881246,0.034519237,0.0003952144,0.41099086,0.008521679,0.01281058
